1;"Fe";"2015-05-14 08:56:00";"fm2";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";1;"KooSt";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"WRZ 2 \
St&auml;rke 2/10/36//48\
an die EAL 1 &Uuml;bergeben\
Einsatzbereit &uuml;ber Funk";"2015-05-14 08:56:00";"KooST";"";"";"2015-05-14 09:01:00";"si1";"S2_rt,EL_bl,S1_gn,S4_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 09:01:24"
2;"Fe";"2015-05-14 09:00:00";"fm3";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";2;"KooSt";"";"";"D";"";"";"";"EAL DLRG WE";"f";"";"WRZ Westfalen 3 mit der St&auml;rke 1/11/42//54 befindet sich im Sammelraum Strengenbach 1 in Lippetal.\
\
WRZ steht zur Verf&uuml;gung.";"2015-05-14 09:00:00";"KooSt";"";"";"2015-05-14 09:02:00";"si1";"S2_rt,EL_bl,S1_gn,S4_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 09:02:04"
3;"";"0000-00-00 00:00:00";"";"2015-05-14 09:01:00";"";"2015-05-14 09:03:00";"fm2";"A";3;"";"";"";"";"";"";"";"WRZ 2";"f";"";"Stellen Sie Marschbereitschaft her und fahren den BR Anne-Frank-Gymnasium, Goetheweg 12, Werne an. Melden Sie sich dort zun&auml;chst beim Platzwart und dann in der EAL.";"2015-05-14 09:01:00";"EAL DLRG WE";"s3";"S3";"2015-05-14 09:05:00";"si1";"S2_rt,S1_bl,S3_gn,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 09:05:23"
4;"";"0000-00-00 00:00:00";"";"2015-05-14 09:03:00";"";"2015-05-14 09:06:00";"fm3";"A";4;"";"";"";"";"";"";"";"WRZ 3";"f";"";"Stellen Sie Marschbereitschaft her und fahren den BR Anne-Frank-Gymnasium, Goetheweg 12, Werne an. Melden Sie sich dort zun&auml;chst beim Platzwart und dann in der EAL.";"2015-05-14 09:03:00";"EAL DLRG WE";"s3";"S3";"2015-05-14 09:11:00";"si1";"S2_rt,S1_bl,S3_gn,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 09:10:37"
5;"Fe";"2015-05-14 09:16:00";"fm3";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";5;"KooSt";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Der WRZ 8 st&auml;rke 1/9/33//43 im Bereitstellungsraum Nord Lippe 44 Werne. \
\
WRZ 9 1/9/33//43 Bereitstellungsraum Kamen Kare in Kamen.\
\
Sind abmarschbereit. ";"2015-05-14 09:16:00";"KooSt";"";"";"2015-05-14 09:19:00";"si1";"S2_rt,S1_gn,S3_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 09:19:20"
6;"";"0000-00-00 00:00:00";"";"2015-05-14 09:21:00";"";"2015-05-14 09:25:00";"fm3";"A";6;"";"";"";"";"";"";"";"WRZ 8";"f";"";"Stellen Sie Marschbereitschaft her und fahren den BR Anne-Frank-Gymnasium, Goetheweg 12, Werne an. Melden Sie sich dort zun&auml;chst beim Platzwart und dann in der EAL.";"2015-05-14 09:21:00";"EAL DLRG WE";"s3";"S3";"2015-05-14 09:26:00";"si1";"S2_rt,S1_bl,S3_gn,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 09:26:24"
7;"";"0000-00-00 00:00:00";"";"2015-05-14 09:21:00";"";"2015-05-14 09:27:00";"fm3";"A";7;"";"";"";"";"";"";"";"WRZ 9";"f";"";"Stellen Sie Marschbereitschaft her und fahren den BR Anne-Frank-Gymnasium, Goetheweg 12, Werne an. Melden Sie sich dort zun&auml;chst beim Platzwart und dann in der EAL.";"2015-05-14 09:21:00";"EAL DLRG WE";"s3";"S3";"2015-05-14 09:30:00";"si1";"S2_rt,S1_bl,S3_gn,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 09:29:57"
8;"Fe";"2015-05-14 09:22:00";"fm3";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";8;"KooSt";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"WRZ 10 2/9/37//48  stehen Zollpost 15 in Kamen in Bereitstellung und warten auf Anweisung &uuml;ber Funk.";"2015-05-14 09:22:00";"KooSt";"";"";"2015-05-14 09:23:00";"si1";"S2_rt,S1_gn,S3_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 09:23:22"
9;"";"0000-00-00 00:00:00";"";"2015-05-14 09:26:00";"";"2015-05-14 09:28:00";"fm1";"A";9;"";"";"";"";"";"";"";"WRZ 10";"f";"";"Stellen Sie Marschbereitschaft her und fahren den BR Anne-Frank-Gymnasium, Goetheweg 12, Werne an. Melden Sie sich dort zun&auml;chst beim Platzwart und dann in der EAL.";"2015-05-14 09:26:00";"EAL DLRG WE";"s3";"S3";"2015-05-14 09:30:00";"si1";"S2_rt,S1_bl,S3_gn,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 09:30:07"
10;"Fu";"2015-05-14 09:35:00";"fm3";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";10;"WRZ 10";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"WRZ 10 ist auf Anfahrt zum Anne-Frank-Gymnasium Werne. ";"2015-05-14 09:35:00";" WRZ 10 KDOW1-1";"";"";"2015-05-14 09:38:00";"si1";"S2_rt,S1_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 09:38:31"
11;"Fu";"2015-05-14 09:42:00";"fm2";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";11;"WRZ 2";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"WRZ 2 \
St&auml;rke 2/10/36//48 \
Eintreffen BR Anne Frank Gymnasium Goetheweg 12, Werne";"2015-05-14 09:42:00";"WRZ 2";"";"";"2015-05-14 09:44:00";"si1";"S2_rt,S1_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 09:43:46"
12;"Fu";"2015-05-14 09:44:00";"fm2";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";12;"WRZ 9";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"WRZ 9\
St&auml;rke 1/9/33//43 \
Abfahrt vom Sammelraum zum BR Anne Frank Gymnasium Goetheweg 12, Werne";"2015-05-14 09:44:00";"WRZ 9";"";"";"2015-05-14 09:45:00";"si1";"S2_rt,S1_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 09:44:59"
13;"";"0000-00-00 00:00:00";"";"2015-05-14 10:01:00";"";"2015-05-14 10:04:00";"fm2";"A";13;"";"";"";"";"";"";"";"Küche";"f";"";"St&auml;rkemeldung der eintreffenden Z&uuml;ge:\
WRZ 02 = 48\
WRZ 03 = 54\
WRZ 08 = 43\
WRZ 09 = 43\
WRZ 10 = 49";"2015-05-14 10:01:00";"EAL DLRG WE";"s4";"S4";"2015-05-14 10:05:00";"si1";"S2_rt,S4_gn,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 10:05:22"
14;"Fu";"2015-05-14 10:11:00";"fm3";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";14;"WRZ 8";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"WRZ 8 St&auml;rke 1/9/33//43 + 1 im Bereitstellungsraum. ";"2015-05-14 10:11:00";"KDOW 1-1";"";"";"2015-05-14 10:15:00";"si1";"S2_rt,S1_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 10:15:27"
15;"Fu";"2015-05-14 10:20:00";"fm2";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";15;"WRZ 9";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"WRZ 9 \
St&auml;rke 1/9/33//43 \
Eintreffen BR Anne Frank Gymnasium ";"2015-05-14 10:20:00";"WRZ 9";"";"";"2015-05-14 10:26:00";"si1";"S2_rt,S1_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 10:26:35"
16;"Fu";"2015-05-14 10:28:00";"fm3";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";16;"KooSt";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"WRZ 10 steht WRZ 9 gegen&uuml;ber und verursacht eine massive Verkehrsgef&auml;hrdung. Anforderung Meldung Platzwart";"2015-05-14 10:28:00";"KDOW 1-1";"";"";"2015-05-14 10:30:00";"si1";"S2_rt,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 10:30:23"
17;"Fu";"2015-05-14 10:51:00";"fm3";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";17;"KooSt";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"WRZ 10 ist im Bereitstellungsraum angekommen.";"2015-05-14 10:51:00";"KDOW 1-1";"";"";"2015-05-14 10:52:00";"si1";"S2_rt,S1_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 10:52:10"
18;"Fu";"2015-05-14 10:52:00";"fm1";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";18;"Platzwart";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Alle WRZ am Anne-Frank-Gymnasium angekommen und geparkt.";"2015-05-14 10:52:00";"Pelikan Westfalen HRT 29";"";"";"2015-05-14 10:53:00";"si1";"S2_rt,S1_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 10:53:21"
19;"";"0000-00-00 00:00:00";"";"2015-05-14 10:54:00";"";"2015-05-14 11:01:00";"fm2";"A";19;"";"";"";"";"";"Fu";"";"an alle WRZ";"f";"";"Zugf&uuml;hrerbesprechung um 141100mai im Besprechungsraum gegen&uuml;ber Stabsraum";"2015-05-14 10:54:00";"EAL DLRG WE";"s3";"S3";"2015-05-14 11:56:00";"si1";"S2_rt,S3_gn,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 11:56:33"
20;"Fu";"2015-05-14 11:42:00";"fm2";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";20;"Küche";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"12.00 Essen steht";"2015-05-14 11:42:00";"Küche";"";"";"2015-05-14 11:57:00";"si1";"S2_rt,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 11:56:39"
21;"Me";"2015-05-14 13:28:00";"s3";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";21;"";"";"";"";"";"";"";"WRZ 8";"t";"";"Auftrag: EVAK";"2015-05-14 13:28:00";"EAL DLRG WE";"s3";"S3";"2015-05-14 13:35:00";"si1";"S2_rt,S1_bl,S3_gn,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 13:35:16"
22;"Me";"2015-05-14 13:31:00";"s3";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";22;"";"";"";"";"";"Me";"";"WRZ 3";"t";"";"Auftrag: Deichsicherung";"2015-05-14 13:31:00";"EAL DLRG WE";"s3";"S3";"2015-05-14 13:35:00";"si1";"S2_rt,EL_bl,S1_bl,S3_gn,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 13:35:29"
23;"Me";"2015-05-14 13:32:00";"s3";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";23;"";"";"";"";"";"Me";"";"WRZ 9";"t";"";"Auftrag: Bereitstellungsraum";"2015-05-14 13:32:00";"EAL DLRG WE";"s3";"S3";"2015-05-14 13:35:00";"si1";"S2_rt,EL_bl,S1_bl,S3_gn,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 13:35:35"
24;"Me";"2015-05-14 13:33:00";"s3";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";24;"";"";"";"";"";"Me";"";"WRZ 10";"t";"";"Auftrag: MANV";"2015-05-14 13:33:00";"EAL DLRG WE";"s3";"S3";"2015-05-14 13:36:00";"si1";"S2_rt,EL_bl,S1_bl,S3_gn,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 13:35:41"
25;"Me";"2015-05-14 13:37:00";"s3";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";25;"";"";"";"";"";"Me";"";"WRZ 2";"t";"";"Auftrag: Boot, KFZ, ETT";"2015-05-14 13:37:00";"EAL DLRG WE";"s3";"S3";"2015-05-14 13:40:00";"si1";"S2_rt,EL_bl,S1_bl,S3_gn,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2015-05-14 13:39:43"
