1;"Fu";"2022-10-03 04:45:00";"fm1";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";1;"S6-2";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Information f&uuml;r Stab: Kaffee fertig, Fr&uuml;hst&uuml;ck lecker";"2022-10-03 04:45:00";"S6-2";"";"";"0000-00-00 00:00:00";"";"S2_rt,";\N;\N;4;"f";"f";"";"f";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
2;"Me";"2022-10-03 05:04:00";"fm2";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";2;"S6";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Melden in FMBST";"2022-10-03 05:04:00";"S6";"";"";"0000-00-00 00:00:00";"";"S2_rt,";\N;\N;4;"f";"f";"";"f";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
3;"Fu";"2023-05-18 09:15:00";"fm1";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";3;"WE-VF";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Bereitstellungsraum verlassen, St&auml;rke 1/1/2//4";"2023-05-18 09:15:00";"VF";"";"";"2023-05-18 09:15:00";"fm1";"S2_rt,EL_bl,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2023-05-18 09:14:43"
4;"Fu";"2023-05-18 09:36:00";"fm1";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";4;"EAL DLRG WE";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Druckertest";"2023-05-18 09:36:00";"EAL DLRG WE";"";"";"2023-05-18 09:36:00";"fm1";"S2_rt,EL_bl,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2023-05-18 09:36:38"
5;"Fu";"2023-05-18 09:43:00";"fm1";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";5;"VF";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"St&auml;rkekorrektur, neu 1/1/3//5";"2023-05-18 09:43:00";"VF";"";"";"2023-05-18 09:43:00";"fm1";"S2_rt,EL_bl,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2023-05-18 09:43:02"
6;"Fu";"2023-05-18 09:57:00";"fm1";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";6;"Dülmen GW-W 2";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Auf dem Weg zum Bereitstellungsraum mit 2 Personen";"2023-05-18 09:57:00";"Dülmen GW-W 2";"";"";"2023-05-18 09:57:00";"fm1";"S2_rt,EL_bl,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2023-05-18 09:56:45"
7;"Fu";"2023-05-18 10:01:00";"fm1";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";7;"WRZ 4";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Verlegen zum Bereitstellungsraum, neue St&auml;rke 4/9/35//48 + 1 Zugbegleiter";"2023-05-18 10:01:00";"WRZ 4";"";"";"2023-05-18 10:01:00";"fm1";"S2_rt,EL_bl,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2023-05-18 10:01:05"
8;"Fu";"2023-05-18 10:03:00";"fm2";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";8;"WRZ 3 KDOW";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"WRZ 3: R&uuml;ckt aus \
St&auml;rke: 1/9/32//42\
Ankuft: 1016";"2023-05-18 10:03:00";"WRZ 3 KDOW";"";"";"2023-05-18 10:03:00";"fm2";"S2_rt,EL_bl,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2023-05-18 10:03:07"
9;"Fu";"2023-05-18 10:29:00";"fm1";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";9;"WRZ 4 KdoW";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"In Bereitstellungsraum Olpe angekommen";"2023-05-18 10:29:00";"WRZ 4 KdoW";"";"";"2023-05-18 10:29:00";"fm1";"S2_rt,EL_bl,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2023-05-18 10:29:13"
10;"Fu";"2023-05-18 10:31:00";"fm1";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";10;"WRZ 7 KDoW";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"E-Klar am Abstellungsraum";"2023-05-18 10:31:00";"WRZ 7 KDoW";"";"";"2023-05-18 10:31:00";"fm1";"S2_rt,EL_bl,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2023-05-18 10:31:23"
11;"Fu";"2023-05-18 10:35:00";"fm1";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";11;"S6";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Frage Lautst&auml;rke und Verst&auml;ndigung okay?\
\
Antwort: Ja, okay, aber etwas leise.";"2023-05-18 10:35:00";"S6";"";"";"2023-05-18 10:35:00";"fm1";"S2_rt,EL_bl,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2023-05-18 10:35:10"
12;"Fu";"2023-05-18 10:39:00";"fm2";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";12;"Koost";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"+ Z&uuml;ge 3,4,7,10 werden uns unterstellt\
+ PN-17 aus dem WRZ 3 wird nachgef&uuml;hrt                                                                                     ";"2023-05-18 10:39:00";"Koost";"";"";"2023-05-18 10:39:00";"fm2";"S2_rt,EL_bl,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2023-05-18 10:38:49"
13;"Fu";"2023-05-18 10:39:00";"fm1";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";13;"WRZ 10 KDoW";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Eingetroffen Sammelraum, St&auml;rke 1/9/33//43";"2023-05-18 10:39:00";"WRZ 10 KDoW";"";"";"2023-05-18 10:39:00";"fm1";"S2_rt,EL_bl,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2023-05-18 10:39:04"
14;"Fu";"2023-05-18 11:15:00";"fm1";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";14;"WRZ 10 KDoW";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Mit St&auml;rke 1/9/33//43 unterwegs von Sammelraum zur Gesamtschule";"2023-05-18 11:15:00";"WRZ 10 KDoW";"";"";"2023-05-18 11:15:00";"fm1";"S2_rt,EL_bl,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2023-05-18 11:15:00"
