1;"";"0000-00-00 00:00:00";"";"2017-05-25 12:31:00";"";"2017-05-25 12:34:00";"aw2";"A";1;"EAL DLRG WE";"";"Fu";"";"";"";"";"WRZ 4";"f";"";"Frage: Wann ist Quartierbezug und Verpflegungsaufnahme abgeschlossen?";"2017-05-25 12:31:00";"EAL DLRG WE";"s2";"S2";"2017-05-25 13:43:00";"si";"S2_rt,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2017-05-25 13:43:15"
2;"Fu";"2017-05-25 12:31:00";"aw2";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";2;"WRZ 3";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"WRZ 3 verlegt landseitig nach H&ouml;rstel";"2017-05-25 12:31:00";"WRZ 3";"";"";"2017-05-25 13:43:00";"si";"S2_rt,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2017-05-25 13:42:56"
3;"";"0000-00-00 00:00:00";"";"2017-05-25 12:32:00";"";"2017-05-25 12:36:00";"aw1";"A";3;"EAL DLRG WE";"";"";"";"";"";"";"WRZ 8";"f";"";"Frage: Wann ist Quartierbezug und Verpflegungsaufnahme abgeschlossen?";"2017-05-25 12:32:00";"EAL DLRG WE";"s2";"S2";"2017-05-25 13:43:00";"si";"S2_rt,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2017-05-25 13:42:39"
4;"";"0000-00-00 00:00:00";"";"2017-05-25 12:33:00";"";"2017-05-25 12:42:00";"aw2";"A";4;"EAL DLRG WE";"";"Fu";"";"";"";"";"WRZ 3";"f";"";"&Auml;nderung der Eintreffzeit Bereitstellungsraum: 251500Mai17";"2017-05-25 12:33:00";"EAL DLRG WE";"s2";"S2";"2017-05-25 13:42:00";"si";"S2_rt,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2017-05-25 13:41:53"
5;"Fu";"2017-05-25 12:35:00";"aw2";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";5;"WRZ 4";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Quartierbezug und Verpflegungsaufnahme sind abgeschlossen";"2017-05-25 12:35:00";"WRZ 4 ";"";"";"2017-05-25 13:41:00";"si";"S2_rt,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2017-05-25 13:41:25"
6;"Fu";"2017-05-25 12:37:00";"aw1";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";6;"WRZ 8";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Ende der Quatierbeziehung und Verpflegungsaufnahme wird gekl&auml;rt";"2017-05-25 12:37:00";"WRZ 8";"";"";"2017-05-25 13:41:00";"si";"S2_rt,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2017-05-25 13:41:13"
7;"Fu";"2017-05-25 12:40:00";"aw3";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";7;"WRZ 10 KdoW";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Alle Boote geslippt, verlegen land und -wasserseitig\
Ibbenb. Rheinische Stra&szlig;e.                                                              ";"2017-05-25 12:40:00";"WRZ 10 KdoW";"";"";"2017-05-25 14:47:00";"si";"S2_rt,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2017-05-25 14:47:08"
8;"Fu";"2017-05-25 12:41:00";"aw1";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";8;"WRZ 8";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Quatierbezug ist beendet, Verpflegungsaufnahme ist in Bearbeitung";"2017-05-25 12:41:00";"WRZ 8";"";"";"2017-05-25 14:47:00";"si";"S2_rt,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2017-05-25 14:47:12"
9;"";"0000-00-00 00:00:00";"";"2017-05-25 12:44:00";"";"2017-05-25 12:46:00";"aw2";"A";9;"WRZ 3";"";"Fu";"";"";"Fu";"";"WRZ 3";"f";"";"Sonnenschutzcreme ist ein Bestandteil der pers&ouml;nlichen Schutzausr&uuml;stung. Im BR ist KEINE zus&auml;tzliche Sonnencreme vorhanden und kann kurzfristig nicht besorgt werden.";"2017-05-25 12:44:00";"EAL DLRG WE";"s14";"S1S4";"2017-05-25 14:47:00";"si";"S2_rt,S1S4_gn,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2017-05-25 14:47:16"
10;"Fu";"2017-05-25 12:51:00";"aw3";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";10;"WRZ 8 KdoW";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Ausfahrt ist blockiert durch Tor hinter BR. Meldekopf wei&szlig; Bescheid. Schl&uuml;ssel ist nicht vorhanden.";"2017-05-25 12:51:00";"WRZ 8 KdoW";"";"";"2017-05-25 14:47:00";"si";"S2_rt,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2017-05-25 14:47:23"
